[SF],Functional completeness,Functional correctness,Functional appropriateness,Maturity,Availability,Fault tolerance,Recoverability,Time behavior,Resource utilization,Capacity,Appropriateness recognizability,Learnability,Operability,User error protection,User interface aesthetics,Accessibility,Modularity,Reusability,Analyzability,Modifiability,Testability,Confidentiality,Integrity,Non-repudiation,Accountability,Authenticity,Co-existence,Interoperability,Adaptability,Installability,Replaceability,Organizational structure,Positioning and Strength,Reputation,Services Offered,Support,Licensing Schema,Licensing Costs,Platform Cost,Implementation Cost,Network Cost,Stability,Ownership,Deliverables,Parameterization / Customization,Guarantees,[Description]
Intellectual Property,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Intellectual property (IP) is a category of property that includes intangible creations of the human intellect. There are many types of intellectual property[comma] and some countries recognize more than others. The most well-known types are copyrights[comma] patents[comma] trademarks[comma] and trade secrets.
Proposals,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,A funding proposal is used to request funds by providing a compelling case for the proposed project. The main difference is the focus on the goals and objectives of the project[comma] feeding into a set of measures for evaluation of project success.
Research & Development,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Research and development (R&D) includes activities that companies undertake to innovate and introduce new products and services. It is often the first stage in the development process.
Service contracts,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Service Contracts are agreements between a customer or client and a person or company who will be providing services. For example[comma] a Service Contract might be used to define a work-agreement between a contractor and a homeowner. 
Professional services,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Professional services to the DAO like coding[comma] sales[comma] marketing[comma] accounting etc
Content or registry curation,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,It is an incentivized voting game that helps create trusted lists that are maintained by the very people that use them. Using the “Wisdom of the Crowds” principle[comma] users collectively vote (using tokens) to decide which submissions are valid and should be included in the list.
Reputation,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Reputation requests for new members
Meetups,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Meetup is a service used to organize online groups that host in-person events for people with similar interests. 
Reward-for-work proposals,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Reward-for-work proposals
Structure-changing proposals,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Structure-changing proposals
Funding Queues,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Time based funding continually flowing to different proposals based on collective preference
Manual Reputation Flow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,Executed proposals can grant or remove any amount of Reputation to or from an Ethereum address. DAO proposals can only be passed via DAO vote and may be the largest source of Reputation flow since reward amounts have no restrictions. Negative reputation rewards via proposal can also act as a failsafe for when the DAO feels an address has an inappropriately high level of Reputation.
Automatic Reputation Flow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,Proposers receive an automatic Reputation reward if their proposal passes[comma] because passing a proposal is assumed to contribute to the DAO’s collective goals in some way. Setting this reward to be larger relative to a DAO’s total Reputation will cause the DAO’s Reputation distribution to shift more quickly over time[comma] while setting it to be smaller leads to slower change. As with all of these parameters[comma] each DAO will decide for itself what’s appropriate (possibly even setting the parameter to 0).
Token distribution,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0, Each agency or DAO can issue and distribute its own native tokens to contributors of value[comma] as valued by the organization
Funds allocation,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,An organization can earn[comma] or collect via its own-token sale[comma] external tokens such as ETH[comma] STK or other DAO’s tokens
Reputation assignment,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,Each agency can assign reputation scores to its members. Reputation is a representation of one’s professional credibility[comma] and thus influence[comma] within the organization
Collective data curation,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0," An organization can manage its own collective databases of objects[comma] and maintain their curation. It can be the curation of articles[comma] website[comma] 
organizations or anything else"
External activity,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,An agency can act within another agency as a single entity. For example[comma] an agency can submit a proposal inside another agency (or DAO)[comma] and vote on others’ proposals
Governance upgrade,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,Each organization can configure and update its own governance system.
Inflation Funding,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,Set a rate at which a DAOs token is minted[comma] and a ceiling to the supply.
Security Token Offering (STO),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,A security token offering / tokenized IPO is a type of public offering in which tokenized digital securities[comma] known as security tokens[comma] are sold in cryptocurrency exchanges[comma] or security token exchanges.
Utility Token Offering (UTO),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,They give users access to a future product or service. Typically[comma] a tech startup develops a digital product or service and initiates an ICO (Initial Coin Offering). During the ICO[comma] the company sells utility tokens.
Initial coin Offering (ICO),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,An initial coin offering or initial currency offering is a type of funding using cryptocurrencies. It is often a form of crowdfunding[comma] however a private ICO which does not seek public investment is also possible.
Revenue Sharing,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disburse revenue/pot of funds to members meritocratically
Budget Box,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Continuous allocation of tokens to a set of proposals based on a collective ranking game 
On-chain,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Governance activities that happen external to the protocol are called “off-chain” governance[comma] They include: negotiating and entering third party contracts[comma] hiring/firing[comma] and voting (can be on-chain or offchain).
Off-chain,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Governance activities that happen external to the protocol are called “off-chain” governance[comma] They include: negotiating and entering third party contracts[comma] hiring/firing[comma] and voting (can be on-chain or offchain).
Linked discretionary,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Linked discretionary discussions are usually involving an identity-based off-chain discussion that will be referred to in an on-chain transaction[comma] once a rough consensus has been reached.
Authorization (Voting Right),0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorization is a security mechanism to determine access levels or user/client privileges related to system resources.
Membership management,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Membership software (also known as an association management system) is a computer software which provides associations[comma] clubs and other membership organizations with the functionality they require to provide their services to their members.
Authentication/Identification,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Identification and authentication are commonly used as a two-step process[comma] but they are distinct activities. Identification is the claiming of an identity. This only needs to occur once per authentication or access process.
Permissionless,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It requires no permission to join and interact with.
Legally proper KYC,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Know Your Customer (KYC) procedures are a critical function to assess customer risk and a legal requirement to comply with Anti-Money Laundering (AML) laws. Effective KYC involves knowing a customers identity[comma] their financial activities and the risk they pose.
Independent Platform,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Theses DSaaS platforms are independent and are not based on (on top of) other platforms.
Extension,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,These DSaaS platforms are extensions of other DSaaS platforms.
Onchain tools,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Onchain tools
Offchain tools,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Offchain tools
Extensibility,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Develop extensions which leverage underlying primitives to do new things. E.g.
Transparency portal,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Accessible overview of DAOs finances. Balances in different tokens over time[comma] transactions in and out.
Legal framework,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,legal framework toolkit that will help companies and entrepreneurs to understand the legal boundaries and protect themselves from regulatory issues.
Domains,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Compose a DAO of sub-domains or teams each able to control their own resources and have their own authority mechanisms
Recovery,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,A decentralised mechanism for halting[comma] repairing[comma] and restaring the DAO in case of problems/attack
Multiple payment types,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,e.g. batch[comma] milestones[comma] salaries[comma] and payment templates.
Analytics Dashboard,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,for real-time system feedback
IPFS,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,The InterPlanetary File System is a protocol and peer-to-peer network for storing and sharing data in a distributed file system. IPFS uses content-addressing to uniquely identify each file in a global namespace connecting all computing devices.
Storj,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Storj is a decentralized system of distributed object storing[comma] which keeps information encrypted. Storj is based on Bitcoin's blockchain technology and peer-to-peer protocol in order to provide safe and efficient cloud storage.
Ethereum Swarm,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Swarm is a distributed storage platform and content distribution service[comma] a native base layer service of the ethereum web3 stack. The primary objective of Swarm is to provide a decentralized and redundant store for dapp code and data as well as block chain and state data.
Ethereum,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,Ethereum is a decentralized open source blockchain featuring smart contract functionality. 
RSK,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,RSK(Rootstock) is a smart contract platform that is connected to the Bitcoin blockchain through sidechain technology. It is an advanced version of QixCoin[comma] a Turing-complete cryptocurrencycreated in 2013 by the same development team. ... RSK has the potential to scale up Bitcoin cryptocurrency along with other advantages.
xDai,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,xDai chain is an EVM Ethereum sidechain that uses a dual token model xDai is used for fast and inexpensive stable transactions and STAKE[comma] a multi-chain staking token designed to secure the payment layer. 
Popularity,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,The state of being liked[comma] enjoyed[comma] accepted[comma] or done by a large number of people
Maturity level,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,The maturity level or capability level of an organization provides a way to characterize its capability and performance.
Developer Resources (People),1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,"Developer Resources 
(People)"
Upgradability,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,Capability of being improved in functionality by the addition or replacement of components.
Scalability,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,Scalability is the property of a system to handle a growing amount of work by adding resources to the system. In an economic context[comma] a scalable business model implies that a company can increase sales given increased resources. 
