[SF],Quality-Expressiveness,Quality-Arbitrariness,Quality-Formality,Quality-Suitability,Quality-Understandability,Quality-Completeness,Quality-Efficiency,Quality-Effectiveness (scope),Quality-Complexity,Quality-Ease of Use,Quality-Flexibility/Modularity,Quality-Portability/Compatability,Quality-Tool support,Quality-Learnability,Quality-Maturity,Quality-Enactability,Quality-Innovation Inducer,Quality-Reusability,Quality-(Implementation)Cost,Quality-Scalability,Quality-Adaptability,Quality-Replaceability,Quality-Granularity,Quality-Support,Quality-Positioning and Strength,[Description]
Execution Engine availability,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,Whether there are any Execution Engines available that support the (automatic) simulation of the models of a given language
Simulation support,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Whether the language allows for simulation (enaction of the model)
Verification support,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Whether the language allows for qualitative analysis- e.g. The detecting of deadlocks- races- etcetera
True concurrency,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language allows for true-parallelism- explicitly representing steps that can be performed by different workers.
System Interpretation,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Whether the output model of the language is to be used or interpreted by systems
Decomposition,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,Whether the language allows for decomposition / process nesting
High-level support,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Whether the language allows for high-level modeling (top-down approach)
Low-level support,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Whether the language allows for low-level modeling (bottom-up approach) with detailed descriptions of atomic activities
State-based,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Whether the modeling language allows for modeling of state-based models
Activity-based,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Whether the language allows for the modeling of activity/task-based models
Novice,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Whether the language is generally perceived as being suitable/understandable for/by novice modelers
Expert,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Whether the language is generally perceived as being suitable/understandable for/by or tailored to experts or well-experienced modelers
Graphical economy,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,The degree of the number of unique graphical symbols the language has (Note: The assumption is made that a higher amount results in lower understandability- but higher expressiveness). Featured not applicable (=0) to textual process modeling languages.
Perceptual discriminatibility,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Whether the language uses color as additional differentiating factor for the notation of elements
Semantic transparency,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The degree of formality: the extend to which a language has well defined semantics and rules to be followed
Visual emphasis: colour,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Extent to which symbols are clearly distinguishable- as perceived in literature
Formality,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Self describing: extent to which meaning of symbol can be inferred from its appearance- as perceived in literature
Organizational body,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,Whether there is an organization behind the language- actively responsible for version management and development of the language- e.g. OMG
Conformity to standard,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,Whether the technique is conform to an ISO standard
Evolutionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Whether new and improved versions have been released over time
Theoretical foundation,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,The level of theoretical support for the business process modeling technique (i.e. whether its has its foundations in the academic domain)
Documentation availability,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,Availability of a comprehensive and well-documented manual or language specification
Active community,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,Whether the technique has an active community. An active community is defined as a group of people (modelers) gathered in a place to achieve a common goal (in this case being an online forum or an active research community)
HR availability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,Degree of expert availability (*may vary over time)
Training material availability (degree),0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,The degree of training material availability
YouTube availability,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,Whether there are instructional youtube videos available about the technique (Language: EN)
Course availability,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,Whether there are courses available at recognized organizations- e.g. UvA or UU- about the technique
Blog availability,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,Whether there are blogs / articles available about the technique
Degree of Popularity,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,The degree of popularity of the given technique (3 = very popular)
tool availability,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,The degree of tool availability for both free and paid tools combined
free tools availability,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,Whether there are any free tools available that support the modeling using a certain technique
open-source tools availability,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,Whether there are any open source tools available that support the modeling using a certain technique
