[SF],QA:Expressiveness,QA:Arbitrariness,QA:Formality,QA:Suitability,QA:Understandability,QA:Completeness,QA:Efficiency,QA:Effectiveness (scope),QA:Complexity,QA:Ease of Use,QA:Flexibility/Modularity,QA:Portability/Compatability,QA:Tool support,QA:Learnability,QA:Maturity,QA:Enactability,QA:Innovation Inducer,QA:Reusability,QA:(Implementation)Cost,QA:Scalability,QA:Adaptability,QA:Replaceability,QA:Granularity,QA:Support,QA:Positioning and Strength,[Definition]
Control flow/Sequence,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Whether the language allows for the modeling of an order in which tasks are to be executed. In other words[COMMA] whether the language includes a concept of time
Information flow/Message flow,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Whether the messages and their flow can be modeled
Data flow,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Whether the language explicitly allows for the modeling of the flow of data
Inclusive choice (OR),1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language contains the OR construct
Exclusive choice (XOR),1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Whether the language contains the XOR construct
Parallelism (AND),1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language contains the AND construct[COMMA] e.g. Flowchart does not have this
Input,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language allows for the modeling process input. Typically[COMMA] these are resources referenced and/or consumed by activities/tasks/functions
Output,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language allows for the modeling of deliverables or output[COMMA] e.g. the creation of a document
External entities,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Whether the language allows for the explicit modeling of external entities that perform a certain process element
Agent (Roles/Entitites),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language allows for the explicit modeling of actors[COMMA] roles and organizational units that perform a certain process element. An entity is a definable thing[COMMA] such as a person object concept or event[COMMA] that can have data stored about it
Duration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Whether there is a construct to depict duration[COMMA] represent a time span[COMMA] the passage of time[COMMA] or a specific point in time (e.g. a day of the week)
Deadline,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether there is a construct to depict the time period within activities or tasks have to be carried out
Business rules,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether language allows for the modeling of business rules
Business goals,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether language allows for the explicit modeling of business goals (note: a final state is not considered a process goal for this feature)
Annotation,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Whether language allows for textual annotation in addition the graphical representation of a process. Textual annotation can be used to provide additional details about a process element[COMMA] that otherwise could not be depicted.
Task/Activity,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Whether the language has a ""task"" or ""activity"" construct "
Event/Trigger,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Whether the language has an ""event"" construct. An event is an occurance that takes place at a specific point in time[COMMA] and that is capable of inducing some behaviour (e.g. acitivity or process)"
Mappability,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,Whether the language has a formal specification for mapping to an Executable Business Process (Modeling) Language
Standardized file format,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,Whether the language has a standard file format specified
XML,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Extensible Markup Language: a set of codes or tags that describes the text in a digital document. More broad than XSD and XMI
PNML,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Petri Net Markup Language[COMMA] XML-based interchange format for Petri Net files
XSD (XML Schema Definition),0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Defines what elements and attributes may appear in XML document
XMI (XML Metadata Interchange),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,File format used to store model design information in standard XML format
yawl-XML,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,YAWL-XML[COMMA] file format specifically used for yawl files
EPML,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,EPC Markup Language[COMMA] neutral interchange format that facilitates interchange of EPC business process models
Execution Engine Availability,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,Whether there are any Execution Engines available that support the (automatic) simulation of the models of a given language
Simulation support,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Whether the language allows for simulation (enaction of the model)
Verification support,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Whether the language allows for qualitative analysis[COMMA] e.g. The detecting of deadlocks[COMMA] races[COMMA] etcetera
True concurrency,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language allows for true-parallelism[COMMA] explicitly representing steps that can be performed by different workers.
System Interpretation,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Whether the output model of the language is to be used or interpreted by systems
Decomposition,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,Whether the language allows for decomposition / process nesting
High-level support,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Whether the language allows for high-level modeling (top-down approach)
Low-level support,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Whether the language allows for low-level modeling (bottom-up approach) with detailed descriptions of atomic activities
State-based,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Whether the modeling language allows for modeling of state-based models
Activity-based,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Whether the language allows for the modeling of activity/task-based models
Novice,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Whether the language is generally perceived as being suitable/understandable for/by novice modelers
Expert,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Whether the language is generally perceived as being suitable/understandable for/by or tailored to experts or well-experienced modelers
Graphical economy,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,The degree of the number of unique graphical symbols the language has (Note: The assumption is made that a higher amount results in lower understandability[COMMA] but higher expressiveness). Featured not applicable (=0) to textual process modeling languages.
Visual emphasis: colour,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Whether the language uses color as additional differentiating factor for the notation of elements
Formality (clear definition of rules),0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The degree of formality: the extend to which a language has well defined semantics and rules to be followed
Perceptual discriminatibility,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Extent to which symbols are clearly distinguishable[COMMA] as perceived in literature
Semantic transparency,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Self describing: extent to which meaning of symbol can be inferred from its appearance[COMMA] as perceived in literature
Organizational body,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,Whether there is an organization behind the language[COMMA] actively responsible for version management and development of the language[COMMA] e.g. OMG
Conformity to standard,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,Whether the technique is conform to an ISO standard
Evolutionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Whether new and improved versions have been released over time
Theoretical Foundation,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,The level of theoretical support for the business process modeling technique (i.e. whether its has its foundations in the academic domain)
Documentation availability,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,Availability of a comprehensive and well-documented manual or language specification
Active community,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,Whether the technique has an active community. An active community is defined as a group of people (modelers) gathered in a place to achieve a common goal (in this case being an online forum or an active research community)
HR availability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,Degree of expert availability (*may vary over time)
Training material availability (degree),0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,The degree of training material availability
YouTube availability,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,Whether there are instructional youtube videos available about the technique (Language: EN)
Course availability,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,Whether there are courses available at recognized organizations[COMMA] e.g. UvA or UU[COMMA] about the technique
Blog/Article availability,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,Whether there are blogs / articles available about the technique
Degree of Popularity,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,The degree of popularity of the given technique (3 = very popular)
tool availability (degree),0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,The degree of tool availability for both free and paid tools combined
free tools availability,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,Whether there are any free tools available that support the modeling using a certain technique
open-source tools availability,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,Whether there are any open source tools available that support the modeling using a certain technique
